walkerId,firstService,returnFromLoss,returnFromPassive,retained
31a2adfc-2593-4545-8207-9302e26abb1e,2,0,13,43
03727065-03ee-4983-bb13-6a32fc55cff5,2,0,0,2
6e5a0e07-46d3-498a-a784-f9a547023c5d,1,0,0,1
d53dcc6a-3c30-4a7a-ae76-64e410224c12,10,10,0,42
b2ecec32-2d76-4a82-b662-9b8b7ac290c0,9,0,0,9
f770c302-c301-4169-a576-51fca08a4eed,1,0,1,7
0a2e527c-c516-4f50-ba1b-bd85ab019e01,9,0,0,27
ff709292-6ece-4d95-83d1-2b74aee65631,14,0,0,14
3f9a90f3-4dba-42e2-be04-4b52a6d16ff5,5,7,0,12
7931b6bb-e318-479d-9b60-4081e7238aa2,1,3,0,2
